name,mission,star_id,ra,dec,dist_pc,disposition,probability,radius_earth,period_days,top_reasons
K00829.01,Kepler,5358241,290.46176,40.562462,1313.94,CONFIRMED,0.972001157860884,3.12,18.64932728,log_prad:+2.51;log_depth:+1.20;duration_ratio:+1.05
K00117.02,Kepler,10875245,297.02826,48.208611,486.58,CONFIRMED,0.978555325300766,1.7,4.90144976,log_prad:+1.97;koi_srad:+1.03;log_period:+0.98
K00829.02,Kepler,5358241,290.46176,40.562462,1313.94,CONFIRMED,0.8794117736674187,2.76,9.75192101,log_prad:+2.54;duration_ratio:-0.79;log_period:+0.75
K00829.03,Kepler,5358241,290.46176,40.562462,1313.94,CONFIRMED,0.9369103160859703,4.02,38.5576546,log_prad:+2.57;log_depth:+1.21;log_period:+0.52
K00830.01,Kepler,5358624,290.58173,40.5774,698.28,CONFIRMED,0.7264329471040871,11.58,3.525632539,log_prad:+1.86;duration_ratio:+1.65;log_period:+0.53
K00815.01,Kepler,4544670,285.92001,39.624828,1088.39,CANDIDATE,0.9304751972005277,7.61,34.84398644,log_prad:+1.71;log_depth:+0.63;log_period:+0.62
K00816.01,Kepler,4664847,294.4899,39.771439,1488.76,CONFIRMED,0.9181149743892215,5.52,7.748094239,log_prad:+1.66;duration_ratio:+1.33;log_period:+0.88
K00817.01,Kepler,4725681,283.86639,39.898079,238.39,CONFIRMED,0.9785482174657011,1.8,23.96793669,log_prad:+1.91;koi_steff:+1.09;duration_ratio:+0.89
K00817.02,Kepler,4725681,283.86639,39.898079,238.39,CONFIRMED,0.9734052162813248,1.82,8.29561738,log_prad:+1.79;koi_steff:+1.06;duration_ratio:+0.94
K00818.01,Kepler,4913852,288.81201,40.033401,252.34,CONFIRMED,0.9913473850112469,2.1,8.11437482,log_prad:+2.08;duration_ratio:+1.08;koi_steff:+1.04
K00819.01,Kepler,4932348,294.14789,40.055538,1097.19,FALSE POSITIVE,0.0018634592830551822,27.5,38.036729482,log_depth:-2.73;log_prad:-2.32;duration_ratio:+0.70
K00820.01,Kepler,4936180,295.11371,40.071171,1084.61,CANDIDATE,0.0016472347350231942,30.09,4.64090031,log_prad:-2.40;duration_ratio:-1.29;koi_steff:-0.94
K00011.01,Kepler,11913073,291.06152,50.265129,397.21,FALSE POSITIVE,0.03264781611962625,13.65,3.747838198,duration_ratio:-2.64;log_prad:+0.75;log_depth:+0.52
K00117.01,Kepler,10875245,297.02826,48.208611,486.58,CONFIRMED,0.9880066143391328,2.89,14.74914825,log_prad:+2.31;duration_ratio:+0.96;log_period:+0.93
K00821.01,Kepler,5021899,294.77686,40.15374,1159.34,CONFIRMED,0.9417130813540159,3.38,21.81295996,log_prad:+2.40;log_period:+0.76;duration_ratio:+0.71
K00822.01,Kepler,5077629,283.53845,40.217999,1062.16,FALSE POSITIVE,0.3492403128387571,10.34,7.91936937,log_prad:+0.96;log_period:+0.38;log_insol:+0.31
K00823.01,Kepler,5115978,296.00699,40.295429,1531.22,CANDIDATE,0.003788753113460053,72.77,1.028436523,log_prad:-1.52;duration_ratio:-1.08;log_period:-0.50
K00824.01,Kepler,5164255,283.25354,40.358189,1183.7,CONFIRMED,0.8699862425746163,11.01,15.37562369,log_prad:+1.93;duration_ratio:+1.69;koi_steff:+0.84
K00825.01,Kepler,5252423,283.22141,40.421829,598.11,CONFIRMED,0.9505698608805012,2.11,8.10363271,log_prad:+2.01;duration_ratio:+1.03;log_depth:+1.02
K00825.02,Kepler,5252423,283.22141,40.421829,598.11,CONFIRMED,0.9376574349989791,1.46,4.71510843,log_prad:+1.63;log_period:+1.05;duration_ratio:+1.01
K00826.01,Kepler,5272878,291.14951,40.420521,889.28,CONFIRMED,0.9505786439913847,2.44,6.365839713,log_prad:+2.14;duration_ratio:+1.25;log_depth:+1.08
K00827.01,Kepler,5283542,294.22397,40.417858,1338.89,FALSE POSITIVE,0.8516741149902893,3.86,5.97581754,log_prad:+2.33;log_depth:+1.04;log_period:+0.76
K00839.01,Kepler,5649215,298.96112,40.862808,853.98,FALSE POSITIVE,0.016489352566467726,26.25,2.446737317,duration_ratio:-1.44;log_prad:-0.98;log_period:+0.47
K00840.01,Kepler,5651104,299.3161,40.82238,599.28,CONFIRMED,0.7522220568122403,8.99,3.04033046,log_prad:+1.75;duration_ratio:+1.51;log_depth:+0.59
K00841.01,Kepler,5792202,292.23676,41.08588,1015.92,CONFIRMED,0.8727689386662613,5.0,15.33528675,log_prad:+2.02;log_period:+0.55;log_insol:+0.36
K00117.04,Kepler,10875245,297.02826,48.208611,486.58,CONFIRMED,0.9156315319395243,1.06,7.95825328,log_period:+1.04;koi_srad:+1.00;log_prad:+0.94
K00841.02,Kepler,5792202,292.23676,41.08588,1015.92,CONFIRMED,0.7623548421046809,6.5,31.33046135,log_prad:+1.48;log_period:+0.57;log_depth:+0.46
K00831.01,Kepler,5370302,294.05676,40.549679,915.3,FALSE POSITIVE,0.10433681303359742,12.28,3.9043425,duration_ratio:-1.62;log_prad:+0.48;log_period:+0.29
