kepid,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_quarters
11092783,CANDIDATE,5.159981780,5.1000000e-05,-5.1000000e-05,132.6954500,7.390000e-03,-7.390000e-03,3.35600,0.43700,-0.43700,11111111111111111000000000000000
11124509,FALSE POSITIVE,4.446459958,1.7940000e-06,-1.7940000e-06,135.7301110,3.210000e-04,-3.210000e-04,2.55800,0.01700,-0.01700,11111110111011101000000000000000
12454800,CANDIDATE,23.378773300,8.4520000e-04,-8.4520000e-04,143.2743000,3.090000e-02,-3.090000e-02,6.76000,0.69800,-0.69800,11111111111111111000000000000000
12458817,CANDIDATE,15.099842590,7.8700000e-05,-7.8700000e-05,140.8200000,4.590000e-03,-4.590000e-03,0.22200,0.13500,-0.13500,11111111111111111000000000000000
12470530,FALSE POSITIVE,8.207257515,5.5200000e-07,-5.5200000e-07,135.8249178,5.530000e-05,-5.530000e-05,4.23835,0.00508,-0.00508,11111111111111111000000000000000
12504353,FALSE POSITIVE,498.688450000,4.3380000e-02,-4.3380000e-02,556.5161000,2.950000e-02,-2.950000e-02,17.88000,1.50000,-1.50000,11111111111111111000000000000000
12506342,FALSE POSITIVE,1.227751050,5.1360000e-06,-5.1360000e-06,132.5634600,3.280000e-03,-3.280000e-03,1.60200,0.10900,-0.10900,01111111111111111000000000000000
12519942,CANDIDATE,15.341624500,1.2750000e-04,-1.2750000e-04,134.9868600,7.310000e-03,-7.310000e-03,2.12600,0.50100,-0.50100,11111111111111111000000000000000
12555616,CANDIDATE,21.980467000,4.5230000e-04,-4.5230000e-04,150.7280000,1.800000e-02,-1.800000e-02,4.78000,0.50700,-0.50700,11111111111111111000000000000000
12557713,FALSE POSITIVE,7.214721393,9.1700000e-07,-9.1700000e-07,132.4986540,1.040000e-04,-1.040000e-04,2.36464,0.00473,-0.00473,11111111111111111000000000000000
9730163,CONFIRMED,8.152758850,6.5890000e-05,-6.5890000e-05,134.1904600,7.920000e-03,-7.920000e-03,1.74600,0.24000,-0.24000,101100111011000000000000000
2437112,FALSE POSITIVE,3.187409070,8.9680000e-05,-8.9680000e-05,132.8032000,2.070000e-02,-2.070000e-02,6.19000,0.67400,-0.67400,11111111111111111000000000000000
8719324,FALSE POSITIVE,10.232736110,,,139.5844258,,,1.55000,,,11111111111111111000000000000000
5471690,FALSE POSITIVE,0.962815183,8.1600000e-06,-8.1600000e-06,132.2162900,8.310000e-03,-8.310000e-03,2.58100,0.23100,-0.23100,11111111111111111000000000000000
7100673,CANDIDATE,7.235242210,4.5860000e-05,-4.5860000e-05,135.2317300,5.190000e-03,-5.190000e-03,2.68500,0.16900,-0.16900,11111111111111111000000000000000
3937814,CANDIDATE,10.729007930,5.6080000e-05,-5.6080000e-05,134.6802600,4.460000e-03,-4.460000e-03,0.69600,0.12600,-0.12600,11111111111111111000000000000000
3937814,CANDIDATE,8.196197680,6.3260000e-05,-6.3260000e-05,135.1043500,6.510000e-03,-6.510000e-03,2.10900,0.24500,-0.24500,11111111111111111000000000000000
4548098,CANDIDATE,5.215752000,3.8540000e-03,-3.8540000e-03,133.4040000,3.930000e-01,-3.930000e-01,1.13000,5.30000,-5.30000,11111111111111111000000000000000
5078025,FALSE POSITIVE,0.696290095,4.5870000e-06,-4.5870000e-06,131.5267600,5.890000e-03,-5.890000e-03,3.83900,0.32400,-0.32400,11110111011101110000000000000000
3733638,CANDIDATE,10.071436900,1.6780000e-04,-1.6780000e-04,140.0456000,1.620000e-02,-1.620000e-02,6.89100,0.48800,-0.48800,11111111111111111000000000000000
3746248,FALSE POSITIVE,0.622406980,3.7360000e-06,-3.7360000e-06,131.6839300,4.830000e-03,-4.830000e-03,1.18600,0.32800,-0.32800,11111111111111111000000000000000
3748855,CANDIDATE,4.371989050,4.8560000e-05,-4.8560000e-05,131.9092300,9.050000e-03,-9.050000e-03,2.17700,0.34200,-0.34200,11111111111111111000000000000000
3748855,CANDIDATE,6.728766060,8.7340000e-05,-8.7340000e-05,134.0424000,1.240000e-02,-1.240000e-02,2.27700,0.35200,-0.35200,11111111111111111000000000000000
3757588,FALSE POSITIVE,24.090020650,2.9590000e-05,-2.9590000e-05,154.2853230,9.850000e-04,-9.850000e-04,11.04940,0.08210,-0.08210,11111011101110111000000000000000
3764411,FALSE POSITIVE,4.415893300,5.7390000e-05,-5.7390000e-05,132.9738000,1.020000e-02,-1.020000e-02,1.15500,0.41000,-0.41000,11111011101110111000000000000000
3765692,CANDIDATE,3.093832480,2.2800000e-05,-2.2800000e-05,132.7569100,6.370000e-03,-6.370000e-03,1.57600,0.24100,-0.24100,00011011101110111000000000000000
3766353,FALSE POSITIVE,2.666961614,8.0400000e-07,-8.0400000e-07,133.7190650,2.540000e-04,-2.540000e-04,2.47740,0.01460,-0.01460,11111011101110111000000000000000
5019567,FALSE POSITIVE,1.174301830,1.9890000e-05,-1.9890000e-05,131.7601000,1.270000e-02,-1.270000e-02,9.58700,0.65300,-0.65300,11111011101110111000000000000000
5021432,CANDIDATE,14.056522560,,,136.7555724,,,2.56000,,,11111011101110111000000000000000
5021732,FALSE POSITIVE,15.039464523,1.9670000e-06,-1.9670000e-06,144.1372520,1.070000e-04,-1.070000e-04,5.39796,0.00740,-0.00740,11111011101110111000000000000000
5022440,FALSE POSITIVE,3.693951168,1.4210000e-06,-1.4210000e-06,133.6105200,3.160000e-04,-3.160000e-04,2.25340,0.02090,-0.02090,11111011101110111000000000000000
5022900,FALSE POSITIVE,1.056802870,2.1940000e-05,-2.1940000e-05,131.6820000,1.900000e-02,-1.900000e-02,5.74800,0.69500,-0.69500,00011011101110111000000000000000
5024126,FALSE POSITIVE,0.787122102,1.3290000e-06,-1.3290000e-06,131.7368700,1.580000e-03,-1.580000e-03,3.09990,0.08500,-0.08500,00011011101110111000000000000000
5024268,FALSE POSITIVE,2.150452950,1.9510000e-05,-1.9510000e-05,132.3249900,7.430000e-03,-7.430000e-03,4.45300,0.25100,-0.25100,11111011101110111000000000000000
